Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
43,U R ENERGY (INDIA) PVT LTD,Australia,DHYAN HOLDING PTY LTD,AHMEDABAD,"Wholesale of other electronic equipments and parts
thereof",1.50,0.02,
44,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES,BANGALORE,"Mining of precious metal ore (gold, silver)",9.39,0.14,
45,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LTD,BANGALORE,"Mining of precious metal ore (gold, silver)",2.99,0.04,
46,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LTD,BANGALORE,"Mining of precious
metal ore (gold, silver)",3.30,0.05,
47,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Chromaflo Technologies Australia Pty Ltd,MUMBAI,"Manufacture of prepared pigments, prepared opacifiers
and prepared colours,",16.91,0.25,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,vitrifiable enamels and glazes,,,
48,TVS LOGISTICS SERVICES LTD,Australia,suehow pty ltd,CHENNAI,Motorised road freight transport,2.34,0.03,
49,AUSTRALIAN ENERGY STORAGE SOLUTIONS PVT,Australia,ACCESS PETRITEC PTY LTD,AHMEDABAD,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese",0.49,0.01,
50,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR INFRASTRUCTURE (CORPORATE) PTY LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-
electric solar",1.00,0.01,
51,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE LTD,NEW DELHI,Management consultancy activities,2.93,0.04,
52,U R ENERGY (INDIA) PVT LTD,Australia,BLUEKITE INVESTMENTS PTY LTD,AHMEDABAD,Wholesale of other electronic equipments and parts thereof,1.73,0.03,
53,ECA GLOBAL EDUCATION INDIA PVT LTD,Australia,EDUCATION CENTRE OF AUSTRALIA PTY LTD,AHMEDABAD,Higher education in other professional/ vocational courses leading to a degree or equivalent,3.54,0.05,
