Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
608,Trivium Management Services Private Limited,MAHARASHTRA,Mumbai,Management consultancy activities,TRIVIUM INC,U.S.A,50000,623.1958,Received in the company
609,CORETEK SERVICES INDIA PRIVATE LIMITED,DELHI,South West Delhi,Other information technology and computer service activities n.e.c,CORETEK INC,U.S.A,49990,623.0712,Received in the company
610,CUMIN CLUB FOODS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes
the","TCC Brands, Inc.",U.S.A,49990,623.0712,Received in the company
611,HUNGAMA GAMESHASHTRA PRIVATE LIMITED,Telangana,Hyderabad,Other information service activities n.e.c.,HGSPL INVESTMENT PTE LTD,Singapore,49000,615.5655,Received in the company
612,"EDUCATION DESIGN ARCHITECTS INDIA
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Architectural and engineering activities and related technical
consultancy",Fielding Nair International LLC,U.S.A,49000,610.7319,"Received in the
company"
613,"ROULETTE TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,ROULETTE TECHNOLOGIES INC,U.S.A,44995.5,565.2587,"Received in the
company"
614,"ROULETTE TECHNOLOGIES
PRIVATE LIMITED",DELHI,South Delhi,Other information technology and computer service activities n.e.c,ROULETTE TECHNOLOGIES INC,U.S.A,44995.5,560.8202,"Received in the
company"
615,ROULETTE TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,ROULETTE TECHNOLOGIES INC,U.S.A,44995.5,560.8202,Received in the company
616,"REGSBASE HUB ARTIFICIAL
INTELLIGENCE PRIVATE LIMITED",PONDICHERRY,Pondicherry,Providing software support and maintenance to the clients,JUNED JAMAL JABLE,United Kingdom,44000,552.7527,Received in the company
617,REGSBASE HUB ARTIFICIAL INTELLIGENCE PRIVATE LIMITED,KARNATAKA,Udupi,Providing software support and maintenance to the clients,JONATHAN NICHOLAS ANTHONY,United Kingdom,44000,548.4123,Received in the company
618,JUNTRAX SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Abhijit Desai,U.S.A,41979,527.3638,"Received in the
company"
619,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Eric J Malakoff,U.S.A,41250,518.2057,Received in the company
620,LP LOGISTICS PLUS CHEMICAL SCM PRIVATE LIMITED,MAHARASHTRA,Thane,Cargo handling incidental to water transport,MARVIS INVESTMENTS LTD,UAE,40000,502.5025,Received in the company
621,INNODI WATER TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Ramanagar,"Water collection, treatment and supply",IDROPAN-DELL'ORTO DEPURATORI SRL,Italy,37000,464.8148,Received in the company
622,KARU UDYOG PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of other plastics products n.e.c.,GLOBAL PRODUCTS LLC,U.S.A,36245,455.5968,Received in the company
623,KARU UDYOG PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other plastics products n.e.c.,SANJAY PAL,U.S.A,35920,447.7039,Received in the company
624,Monash Biotech Private Limited,GUJARAT,Vadodara,Manufacture of laboratory or pharmaceutical glassware,MONASH BIOTECHNOLOGY PTY LTD,Australia,35000,439.6897,Received in the company
625,GMI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,GMI Labs Pte. Ltd.,Singapore,32689.1,410.6588,"Received in the
company"
626,"BRAND MARINE CONSULTANTS (MUMBAI) PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Service activities incidental to water transportation,BRAND MARINE CONSULTANTS (SG) PTE LTD,Singapore,31167.9,391.5487,Received in the company
627,RYSLEV OUTDOOR PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,ANETTE HYLTOFT RYSLEV,Denmark,30000,377.0976,Received in the
,,,,,,,,,company
628,"EUNIMART OMNICHANNEL
PRIVATE LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,EUNIMART INC,U.S.A,25000,314.248,"Received in the
company"
629,"SHOUTO TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Retinso Inc,U.S.A,24990,313.9384,"Received in the
company"
630,"EUNIMART OMNICHANNEL
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,EUNIMART INC,U.S.A,24990,311.4733,"Received in the
company"
631,"SHINING STAR SOLUTIONS AND SERVICES PRIVATE
LIMITED",DELHI,South Delhi,Combined office administrative service activities,Minorcap Pte. Ltd.,Singapore,24500,305.366,Received in the company
632,"SHINING STAR SOLUTIONS AND SERVICES PRIVATE
LIMITED",DELHI,South Delhi,Combined office administrative service activities,Minorcap Pte. Ltd.,Singapore,24500,305.366,Received in the company
633,BFT Automation Systems Private Limited,TELANGANA,Medak,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similar articles used on buildings",BFT VENETO SRL,Italy,23893,300.1573,Received in the company
634,Efirst Consulting Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Paul William,U.S.A,23350,293.3358,Received in the company
635,Efirst Consulting Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Sam Samkutty,U.S.A,23350,293.3358,Received in the company
636,Efirst Consulting Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Maheswaran Sampathkumar,Canada,23350,293.3358,Received in the company
637,Efirst Consulting Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Sandeep Prasad,U.S.A,23350,293.3358,Received in the company
638,Audax Labs Private Limited,DELHI,North East Delhi,Other information technology and computer service activities n.e.c,Audax Labs LLC,U.S.A,20295,255.1065,Received in the company
639,RYSLEV OUTDOOR PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,LARS RYSLEV,Denmark,20000,251.3984,Received in the company
640,"PEAK HEALTH TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information service activities n.e.c.,ABHAY MEHTA,U.S.A,20000,251.2512,"Received in the
company"
641,"EPPINGER GEAR TECHNOLOGY PRIVATE
LIMITED",TAMIL NADU,Coimbatore,"Manufacture of bearings, gears, gearing and driving elements",EPPINGER UWE GOTTLIEB,Germany,19000,238.6887,"Received in the
company"
642,Computervision Technologies Private Limited,DELHI,Central Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Constructn Corp,U.S.A,15230.884,189.8365,Received in the company
643,OSG MINERALS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Wholesale of metals and metal ores,HIRDESH KUMAR GUPTA,UAE,15024.96,188.8625,"Received in the
company"
644,Hitsay Private Limited,GUJARAT,Ahmedabad,"Wholesale of industrial chemicals,",HARKE Chemicals GmbH,Germany,15000,188.5488,"Received in the
company"
645,SCALESDM INDIA PRIVATE LIMITED,DELHI,South West Delhi,"Computer consultancy and
computer facilities management activities",Scale GmbH,Germany,15000,188.5488,"Received in
the company"
646,Computervision Technologies Private Limited,HARYANA,Gurgaon,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Constructncorp,U.S.A,15069.435,187.8242,Received in the company
647,SCALESDM INDIA PRIVATE LIMITED,DELHI,South West Delhi,"Computer consultancy and computer facilities management
activities",Scale GmbH,Germany,14700,184.7778,"Received in the
company"
648,GIGIN TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Human resources provision and management of human resources functions,GIGIN PTE LTD,Singapore,14000,174.4948,Received in the company
649,SPIKING SKILL PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Malta Peak International Limited,Malta,13875,174.4076,Received in the company
650,SPIKING SKILL PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,MALTA PEAK INTERNATIONAL LIMITED,Malta,13987.5,174.339,Received in the company
651,HYPERTEST INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,Software installation,Hypertest Inc,U.S.A,12687.3,159.4783,Received in the company
652,Bakai Tech Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Foyer Tech Inc,U.S.A,12498.75,157.1083,Received in the company
653,TERSHO INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,Other information technology and computer service activities n.e.c,Tersho Inc,U.S.A,12487.5,156.9669,Received in the company
654,Orbitshift Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Orbitshift Inc,U.S.A,12568.743,156.6558,"Received in the
company"
655,FLUXCHAT INFINITY PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Fluxchat Infinity Inc,U.S.A,12398.76,155.7602,"Received in the
company"
656,"FLEXABILITY HR SOLUTIONS PRIVATE
LIMITED",RAJASTHAN,Jaipur,"Human resources provision and management of human resources
functions",Alexander Mann BPO Solutions (Singapore) Pte Limited,Singapore,11685,145.6409,"Received in the
company"
657,"CL-INDOGLOBAL DATA CENTRE PRIVATE
LIMITED",MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",CAPITALAND DIGITAL MANAGEMENT PTE.LTD,Singapore,10000,125.6992,"Received in the
company"
658,HERA SUN POWER PRIVATE LIMITED,HARYANA,Gurgaon,Electric power generation using solar energy,METKA EGN SINGAPORE HOLDINGS 3 PTE. LTD,Singapore,10000,125.6992,"Received in the
company"
659,Hashhalli Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,HashHalli Inc.,U.S.A,9999,125.6866,Received in the company
660,HOLAPORT LOGISTICS PRIVATE LIMITED,DELHI,South Delhi,Cargo handling incidental to land transport,First Shipment Inc,U.S.A,9999,125.6866,"Received in the
company"
661,KRAYTO TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Krayto Inc.,U.S.A,9999,125.6866,Received in the company
662,CLINTON HEALTH ACCESS INITIATIVE INDIA PRIVATE LIMITED,DELHI,South Delhi,Other business support service activities n.e.c,Clinton Health Access Initiative-Canada,Canada,10000,125.6256,Received in the company
663,EPPINGER TECHNOLOGY ASIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,Manufacture of parts and accessories for the machine tools listed above,UWE GOTTLIEB EPPINGER,Germany,10000,125.6256,Received in the company
664,Goodera Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Goodera Inc.,U.S.A,10000,125.6256,Received in the company
665,REWAIR COMPOSITES INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",REWAIR HOLDING INDIA A/S,Denmark,10000,125.6256,Received in the company
666,Sabari Adamas Industries Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Spendflo Inc,U.S.A,10000,125.6256,Received in the company
667,Adisan Rural Platforms India Private Limited,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Rural Platforms. INC,U.S.A,9999,125.6131,Received in the company
668,ANAKIN SKYWALKER PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Anakin Technologies Inc,U.S.A,9999,125.6131,Received in the company
669,DOWNDOG (INDIA) PRIVATE LIMITED,DELHI,South Delhi,Other human health activities n.e.c. (including independent ambulance activities),Downdog Wellness Pte. Limited,Singapore,9999,125.6131,Received in the company
670,GOOD META PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Better Life, Inc",U.S.A,9999,125.6131,"Received in the
company"
671,Metavoax Tech Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Metavoax Tech, Inc.",U.S.A,9999,125.6131,"Received in the
company"
672,OPENWRENCH INDIA,TAMIL NADU,Chennai,Other information technology and,"EMPTOR.AI, INC.",U.S.A,9999,125.6131,Received in
,PRIVATE LIMITED,,,computer service activities n.e.c,,,,,the company
673,YOUSHD INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Other information technology and computer service activities n.e.c,"YouShd, Inc.",U.S.A,9999,125.6131,"Received in the
company"
674,HATICA LABS PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,HATICA INC.,U.S.A,9990,125.5735,"Received in the
company"
675,SILKHAUS HOSPITALITY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation
in house boats",Silkhaus Holdings Limited,UAE,9990,125.5735,Received in the company
676,LIVIO BUILDING SYSTEMS PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o felt;",Aron Construction Inc,U.S.A,9990,125.5,Received in the company
677,LIVIO BUILDING SYSTEMS PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o felt;",Aron Construction Inc,U.S.A,9990,125.5,Received in the company
678,SILENCE LABORATORIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SILENCE LABORATORIES PTE. LTD.,Singapore,9990,125.5,Received in the company
679,FREIGHTFLOW PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,"BRIDGEPORTS, INC.",U.S.A,9999,124.6267,Received in the company
680,PAYROCKET TECHNOLOGY PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Unipe Technology Inc.,U.S.A,9999,124.6267,Received in the company
681,PEABERRY FOODS PRIVATE LIMITED,HARYANA,Gurgaon,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products","Semhill Group, Inc.",U.S.A,9999,124.6267,Received in the company
682,SKILLZA TECH PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Skillza Inc.,U.S.A,9999,124.6267,Received in the company
683,UNLOGGED SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Unlogged, Inc.",U.S.A,9999,124.6267,"Received in the
company"
684,ZIPSTACK INDIA PRIVATE LIMITED,DELHI,South West Delhi,Other information technology and computer service activities n.e.c,"Zipstack, Inc.",U.S.A,9999,124.6267,"Received in the
company"
685,COGNISAAS INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Software installation,CogniSaas Inc,U.S.A,9998,124.6142,Received in the
,,,,,,,,,company
686,AGP LOGISTREE MANAGER PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in
foreign trade zones",APP India Holdings Pte Ltd,Singapore,9990,124.5145,Received in the company
687,"AMPYR RENEWABLE ENERGY RESOURCES ELEVEN PRIVATE
LIMITED",TELANGANA,Hyderabad,Electric power generation using solar energy,AMPYR ENERGY INDIA PTE LTD,Singapore,9990,124.5145,Received in the company
688,GALK Lab Private Limited,HARYANA,Gurgaon,"Other professional, scientific and technical activities n.e.c.",Willings Inc.,Japan,9900,124.4422,"Received in
the company"
689,"CENTRICBRANDS DESIGN SOLUTIONS
PRIVATE LIMITED",HARYANA,Gurgaon,"Other professional, scientific and technical activities n.e.c.",Centric Brands Holding LLC,U.S.A,9900,124.3694,"Received in the
company"
690,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,9828.38,123.4696,Received in the company
691,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,9828.38,122.5001,Received in the company
692,ZOOMBHA CONSULTING PRIVATE LIMITED,DELHI,North West Delhi,Management consultancy activities,RAJNEESH SARNA,U.S.A,9500,118.4072,Received in the company
693,SCHLOSS TADOBA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",BSREP III Tadoba Holdings (DIFC) Pvt Ltd,UAE,9000,112.1753,Received in the company
694,Mahindra CIE Automotive Limited,MAHARASHTRA,Mumbai,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy","Participaciones Internacionales Autometal, DOS S.L.",Spain,7979.13,100.2383,Received in the company
695,Quartel Consulting Private Limited,MAHARASHTRA,Nagpur,Other information technology and computer service activities n.e.c,Adam James Allan,United Kingdom,7860,98.7417,Received in the company
696,JOBIAK SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,M/s. Jobiak LLC,U.S.A,7013,87.4094,Received in the company
697,EXO CUBIC SOLUTIONS PRIVATE LIMITED,JAMMU & KASHMIR,Jammu,Collection of non-hazardous waste,Exo-Cubic Solutions Limited,United Kingdom,6400,80.4475,"Received in the
company"
698,ECENTRIC DIGITAL PRIVATE LIMITED,TELANGANA,Hyderabad,Providing software support and maintenance to the clients,QUANTELA INC,U.S.A,5070,63.7295,"Received in the
company"
699,Quaking Aspen Private,TAMIL NADU,Chennai,Other information technology and,Quaking Aspen INC,U.S.A,5000,62.8496,Received in
,Limited,,,computer service activities n.e.c,,,,,the company
700,SIDEBRAIN PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,CLASSROOM X INC,U.S.A,4999,62.837,"Received in the
company"
701,DADB INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,"DADB- DEUTSCHE AKADEMIE FUER DIGITALE BILDUNG
GMBH",Germany,5000,62.8128,"Received in the
company"
702,GARDA TECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Tulp Street Pte. Ltd,Singapore,5000,62.8128,Received in the company
703,"REGSBASE HUB ARTIFICIAL INTELLIGENCE PRIVATE
LIMITED",PONDICHERRY,Pondicherry,Providing software support and maintenance to the clients,THE HUB INTELLIGENCE LIMITED,United Kingdom,5000,62.8128,Received in the company
704,REWAIR COMPOSITES INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",REWAIR HOLDING A/S,Denmark,5000,62.8128,Received in the company
705,SIDEBRAIN PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,CLASSROOM X INC,U.S.A,5000,62.8128,Received in the company
706,Quaking Aspen Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Quaking Aspen INC,U.S.A,4990,62.7239,Received in the company
707,JAISHU CONSULTING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Presidio Networked Solutions LLC,U.S.A,5010,62.4442,Received in the company
708,VARNI LABS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,VARNI LABS PTE. LTD,Singapore,5000,62.3196,Received in the company
709,Milos Automation (India) Private Limited,KARNATAKA,Bangalore Rural,Other information technology and computer service activities n.e.c,Milos Automation Inc.,U.S.A,4990,62.1949,Received in the company
710,CIKLUM India Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Ciklum Holding UK Limited,United Kingdom,4950,62.1847,Received in the company
711,MBCCS INTERNATIONAL PRIVATE LIMITED,TELANGANA,Hyderabad,Providing software support and maintenance to the clients,MBC COMPUTER SOLUTIONS LTD,Canada,4900,61.5926,Received in the company
712,OT SERVICES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Jyoti Kapoor,U.S.A,3968,49.4568,Received in the company
713,Optionbox Private Limited,MADHYA PRADESH,Indore,Other information technology and computer service activities n.e.c,Pro Trust Consultancy Pte. Ltd.,Singapore,3890,48.8684,"Received in the
company"
714,Padeco India Private Limited,MAHARASHTRA,Mumbai,"Architectural and engineering activities and related technical
consultancy",Mr. Yuichiro Motomura,Japan,2308,28.9944,"Received in the
company"
715,"SUEZ WATER TECHNOLOGIES AND SOLUTIONS (INDIA)
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Water collection, treatment and supply",AQUASERV 2 SAS,France,2223.01,27.7074,Received in the company
716,Efirst Consulting Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Alby Thomas Philip,Bahrain,2200,27.6376,"Received in the
company"
717,CYGENICA PRIVATE LIMITED,TAMIL NADU,Chennai,"RESEARCH AND EXPERIMENTAL
DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING",Cygenica Limited,Ireland,2000,24.9278,"Received in
the company"
718,Hove Lubricants India Private Limited,MAHARASHTRA,Pune,"Wholesale of solid, liquid and gaseous fuels and related products",Hove A/S,Denmark,1821,22.8898,"Received in the
company"
719,DELICATESSEN ENGINEERING SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Construction of buildings carried out on own-account basis or on a fee or contract basis,Exyte Hargreaves Limited,United Kingdom,1606,20.0171,Received in the company
720,Uncanny Vision Solutions Private Limited,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,EAGLE EYE NETWORKS INC,U.S.A,1277,15.9164,Received in the company
721,Realize Your Potential Private Limited,KARNATAKA,Bengaluru,EDUCATIONAL SUPPORT SERVICES,Preston Raynes Silverman,U.S.A,1200,14.9567,Received in the company
722,Probat India Private Limited,TAMIL NADU,Coimbatore,Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines),VAN GUELPEN MASCHINENBAU GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,Germany,1097,13.7892,Received in the company
723,AMPLIFAI PERFORMANCE MANAGEMENT PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Amplifai Solutions INC,U.S.A,1000,12.5626,Received in the company
724,DIGIMARKET OPERATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Domberyl S.A,Uruguay,1000,12.5626,Received in the company
725,VEARC TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,VEARC TWO LLC,U.S.A,1000,12.5626,Received in the company
726,91GAMEFI PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,91GAMEFI INC,U.S.A,999,12.55,"Received in the
company"
727,"BPP RENEWABLE ENERGY PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Management consultancy activities,Blue Power Partners HoldCo ApS,Denmark,1000,12.4639,"Received in the
company"
728,EPPINGER GEAR,MAHARASHTRA,Thane,"Manufacture of bearings, gears,",CAROLINE EPPINGER LEJOSNE,Germany,1000,12.4639,Received in
,TECHNOLOGY PRIVATE LIMITED,,,gearing and driving elements,,,,,the company
729,MALEMA SENSORS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Manufacture of other electrical equipment,Dover Corporation,U.S.A,1000,12.4639,"Received in the
company"
730,TECHNOBOX PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,"Juicebox App, Inc.",U.S.A,999,12.4515,"Received in the
company"
731,"PRECISION FOR
MEDICINE INDIA PRIVATE LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,Precision For Medicine NL BV,Netherland,990,12.4369,"Received in
the company"
732,GIGIN TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Pune,"Human resources provision and management of human resources
functions",GIGIN PTE LTD,Singapore,990,12.3393,"Received in the
company"
733,"Philmor Global Business Services (India) Private
Limited",MAHARASHTRA,Mumbai,Combined office administrative service activities,Philip Morris Product S A,Switzerland,990,12.3393,"Received in the
company"
734,CINEDIGM INDIA PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Other information technology and computer service activities n.e.c,CINEDIGM CORP.,U.S.A,900,11.3063,Received in the company
735,KULA TECHNOLOGIES PRIVATE LIMITED,GUJARAT,Gandhi Nagar,Other information technology and computer service activities n.e.c,Kula Technologies INC,Singapore,740,9.2233,Received in the company
736,ETRAVELI INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Travel agency activities,SVENSKA RESEGRUPPEN AB,Sweden,500,6.285,Received in the company
737,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",Johnykutty Thomas,Australia,500,6.2813,Received in the company
738,CRAZE TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,CRAZE TECHNOLIGIES INC,U.S.A,500,6.232,Received in the company
739,SCALESDM INDIA PRIVATE LIMITED,DELHI,South West Delhi,Computer consultancy and computer facilities management activities,Dynamore Holding GmbH,Germany,300,3.771,Received in the company
740,ESSENTIALLY NOTHING PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of other electronic equipments and parts thereof,Nothing Technology Pte. Ltd,Singapore,150,1.8696,Received in the company
741,"CENTRICBRANDS DESIGN SOLUTIONS
PRIVATE LIMITED",HARYANA,Gurgaon,"Other professional, scientific and technical activities n.e.c.",Centric Brands Holding LLC,U.S.A,100,1.257,"Received in the
company"
742,TPI GLOBAL SSC INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,TPI Holdings Switzerland GMBH,U.S.A,100,1.257,"Received in the
company"
743,ALFELDER,MAHARASHTRA,Mumbai,Other non-specialised wholesale,Nishan Goenka,Germany,100,1.2563,Received in
,KUNSTSTOFFWERKE PRIVATE LIMITED,,,trade n.e.c.,,,,,the company
744,TIMAC AGRO INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Manufacture of other fertilizers n.e.c.,Agrinter,France,100,1.2464,"Received in the
company"
745,"NINJASALARY FINANCIAL SERVICES
PRIVATE LIMITED",WEST BENGAL,North 24 Parganas,Activities auxiliary to financial service activities n.e.c.,"NINJASALARY, INC.",U.S.A,90,1.1306,"Received in the
company"
746,TMX INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,TM Insight Asia Pte Ltd,Singapore,82.12,1.0235,"Received in
the company"
747,"DUIKER COMBUSTION ENGINEERS PRIVATE
LIMITED",MAHARASHTRA,Pune,Other non-specialised wholesale trade n.e.c.,Duiker Combustion Engineers B.V.,Netherland,78.26,0.9831,"Received in the
company"
748,M K MEHENDALE TPT PRIVATE LIMITED,MAHARASHTRA,Pune,Motorised road freight transport,SIDDHARTH SUDHIR EKBOTE,U.S.A,74,0.9296,"Received in the
company"
749,THE MINOR FOOD GROUP (INDIA) PRIVATE LIMITED,DELHI,South Delhi,"Ice cream mobile vendors, mobile food carts",MFG International Holding Singapore Pte. Ltd.,Singapore,73.619,0.9254,Received in the company
750,CIKLUM India Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Ciklum Holding UK Limited,United Kingdom,50,0.6285,Received in the company
751,CANOGA PERKINS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Rowan Technologies. Inc,U.S.A,10,0.1257,Received in the company
