Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
419,TECHMINDS GROUP INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,TECHMINDS GROUP LLC,U.S.A,"12,31,000.0000",15473.5717,Received in the company
420,"MARKET PULSE TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",BART DE BIE,Belgium,"11,73,000.0000",14735.8847,"Received in the
company"
421,LJM INFO TECH PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,LJM INFOTECH PTY LTD,Australia,"11,40,000.0000",14321.3202,"Received in
the company"
422,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"11,08,443.0000",13815.5415,"Received in the
company"
423,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"11,08,443.0000",13815.5415,"Received in the
company"
424,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"11,08,443.0000",13815.5415,Received in the company
425,KAALBI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Radware Limited,Israel,"10,45,602.2400",13135.4425,"Received in the
company"
426,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,RICHIE MATHEWS,U.S.A,"10,29,537.0000",12933.6219,Received in the company
427,AVONTIX GLOBAL PRIVATE LIMITED,DELHI,South Delhi,"Other data processing, hosting and related activities n.e.c.",MEDTEK.NET INC,U.S.A,"10,33,100.0000",12876.4726,Received in the company
428,SHUNYAM SPA N RETREATS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",SEFIDA TRADING GMBH,Germany,"10,01,503.1600",12482.6522,Received in the company
429,AVI SOLAR ENERGY PRIVATE LIMITED,KARNATAKA,Udupi,Electric power generation using solar energy,SKYFRI TECHNOLOGIES AS,Norway,"10,00,881.0000",12474.8977,Received in the company
