Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
44,Anecure Systems India Private Limited,TAMIL NADU,Coimbatore,"Writing, modifying,
testing of computer program to meet the",Anecure Inc,U.S.A,0.00,0.00,Received in the company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,"needs of a particular client excluding web-
page designing",,,,,,
45,ANSHENG CHEMICAL INDUSTRY (INDIA) PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o
felt;",EAST RED INDUSTRY (HONGKONG) LIMITED,China,0.05,0.00,Received in the Company,
46,ANSHENG CHEMICAL INDUSTRY (INDIA) PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o
felt;",EAST RED INDUSTRY (HONGKONG) LIMITED,China,0.05,0.00,Received in the Company,
47,AN-VISION ( INDIA ) PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of optical
instruments and equipment",Anvision Gmbh,Germany,0.10,0.00,Received in the Company,
48,ANYWHERE LAB INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,"Other professional,
scientific and technical activities n.e.c.",BENHAIM Sigrid born solacroup,France,0.01,0.00,Received in the Company,
49,APPZEN LABS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing","Appzen, INC",U.S.A,0.10,0.00,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
50,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,200.15,2.67,Received in the Company,
