Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
76,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LTD,MUMBAI,Activities of other wireless telecommunications activities,"13,686.89",202.39,
77,VODAFONE INDIA LTD,Mauritius,"VODAFONE TELECOMMUNICATIONS (INDIA)
LTD",MUMBAI,Activities of other wireless telecommunications activities,"5,575.22",82.44,
78,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"5,750.23",85.03,
79,VODAFONE INDIA LTD,Mauritius,PRIME METALS LTD,MUMBAI,Activities of other wireless telecommunications activities,"7,501.53",110.93,
80,VODAFONE INDIA LTD,Mauritius,TRANS CRYSTAL LTD,MUMBAI,Activities of other wireless telecommunications activities,"5,013.58",74.14,
81,VODAFONE INDIA LTD,Mauritius,AL-AMIN INVESTMENTS LTD,MUMBAI,Activities of other wireless telecommunications activities,911.88,13.48,
82,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS (MAU,MUMBAI,Activities of other wireless telecommunications activities,"1,100.53",16.27,
83,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS) INC,MUMBAI,Activities of other wireless telecommunications activities,500.93,7.41,
84,VODAFONE INDIA LTD,Mauritius,AL-AMIN INVESTMENTS LTD,MUMBAI,Activities of other wireless telecommunications activities,"1,387.93",20.52,
85,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LTD,MUMBAI,Activities of other wireless telecommunications activities,"4,477.25",66.21,
86,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS (MAU,MUMBAI,Activities of other wireless telecommunications activities,"1,675.06",24.77,
87,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS) INC,MUMBAI,Activities of other wireless telecommunications activities,762.44,11.27,
